ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
In file,ApplicationTest.java
ApplicationTest.<init>,1,0,1,non_negative
ApplicationTest.ApplicationTest,1,0,1,non_negative
In file,Movie.java
Movie.<init>,1,18,-17,negative
Movie.Movie,2,0,2,non_negative
Movie.getTitle,1,0,1,non_negative
Movie.setTitle,1,0,1,non_negative
Movie.getYear,1,0,1,non_negative
Movie.setYear,1,0,1,non_negative
Movie.getGenre,1,0,1,non_negative
Movie.setGenre,1,0,1,non_negative
In file,MyDividerItemDecoration.java
MyDividerItemDecoration.<init>,1,0,1,non_negative
MyDividerItemDecoration.MyDividerItemDecoration,1,0,1,non_negative
MyDividerItemDecoration.setOrientation,2,0,2,non_negative
MyDividerItemDecoration.onDrawOver,3,0,3,non_negative
MyDividerItemDecoration.drawVertical,2,0,2,non_negative
MyDividerItemDecoration.drawHorizontal,2,0,2,non_negative
MyDividerItemDecoration.getItemOffsets,3,0,3,non_negative
MyDividerItemDecoration.dpToPx,1,0,1,non_negative
In file,MainActivity.java
MainActivity.<init>,1,9,-8,negative
MainActivity.onCreate,1,12,-11,negative
1.<init>,2,20,-18,negative
1.onClick,1,0,1,non_negative
1.onLongClick,1,2,-1,negative
MainActivity.prepareMovieData,1,2,-1,negative
In file,MoviesAdapter.java
MoviesAdapter.<init>,1,24,-23,negative
MyViewHolder.<init>,1,0,1,non_negative
MyViewHolder.MyViewHolder,1,0,1,non_negative
MoviesAdapter.MoviesAdapter,1,0,1,non_negative
MoviesAdapter.onCreateViewHolder,1,0,1,non_negative
MoviesAdapter.onBindViewHolder,1,0,1,non_negative
MoviesAdapter.getItemCount,1,0,1,non_negative
In file,RecyclerTouchListener.java
RecyclerTouchListener.<init>,1,6,-5,negative
RecyclerTouchListener.RecyclerTouchListener,1,0,1,non_negative
1.onSingleTapUp,1,2,-1,negative
1.onLongPress,2,7,-5,negative
RecyclerTouchListener.onInterceptTouchEvent,2,0,2,non_negative
RecyclerTouchListener.onTouchEvent,1,0,1,non_negative
RecyclerTouchListener.onRequestDisallowInterceptTouchEvent,1,0,1,non_negative
