ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
In file,ApplicationTest.java
ApplicationTest.ApplicationTest,1,0,1,non_negative
In file,AlarmReceiver.java
AlarmReceiver.onReceive,1,2,-1,negative
AlarmReceiver.buildPath,1,2,-1,negative
In file,LogUtil.java
LogUtil.makeLogTag,1,0,1,non_negative
In file,Download.java
Download.onStartCommand,4,0,4,non_negative
Download.onBind,1,0,1,non_negative
ParseURL.doInBackground,1,0,1,non_negative
ParseURL.onPostExecute,2,0,2,non_negative
Download.parseUrl,6,0,6,non_negative
Download.getFirstUrl,2,0,2,non_negative
Download.getBaseUrl,1,0,1,non_negative
Download.getMD5,4,0,4,non_negative
Download.getDLUrl,5,0,5,non_negative
dlMd5.doInBackground,3,0,3,non_negative
downloadFirstThread.doInBackground,1,0,1,non_negative
downloadFirstThread.onPostExecute,1,0,1,non_negative
ParseURLDownload.doInBackground,1,0,1,non_negative
ParseURLDownload.onPostExecute,2,0,2,non_negative
Download.download,16,0,16,non_negative
In file,DirectoryPicker.java
DirectoryPicker.onCreate,5,0,5,non_negative
1.onClick,8,2,6,non_negative
1.onItemClick,4,0,4,non_negative
DirectoryPicker.onActivityResult,2,0,2,non_negative
DirectoryPicker.returnDir,2,0,2,non_negative
DirectoryPicker.filter,2,0,2,non_negative
DirectoryPicker.names,2,0,2,non_negative
In file,PrefsFragment.java
PrefsFragment.onCreate,1,2,-1,negative
1.onPreferenceClick,1,0,1,non_negative
In file,SetPreferenceActivity.java
SetPreferenceActivity.onCreate,1,3,-2,negative
In file,MainActivity.java
MainActivity.onCreate,3,11,-8,negative
MainActivity.onActivityResult,1,2,-1,negative
MainActivity.setAlarm,3,18,-15,negative
MainActivity.getPref,1,0,1,non_negative
MainActivity.setRecurringAlarm,1,5,-4,negative
MainActivity.CancelAlarm,1,5,-4,negative
MainActivity.run,1,2,-1,negative
MainActivity.buildPath,1,2,-1,negative
MainActivity.onCreateOptionsMenu,1,2,-1,negative
MainActivity.onOptionsItemSelected,4,16,-12,negative
1.getCommandsToExecute,1,2,-1,negative
MainActivity.onRequestPermissionsResult,1,2,-1,negative
MainActivity.onPermissionsGranted,1,2,-1,negative
MainActivity.onPermissionsDenied,1,2,-1,negative
MainActivity.getBaseUrl,1,0,1,non_negative
MainActivity.readFile,4,0,4,non_negative
MainActivity.writeFile,3,0,3,non_negative
MainActivity.setList,16,0,16,non_negative
1.canDismiss,2,0,2,non_negative
1.onDismiss,2,0,2,non_negative
MainActivity.message_dialog_yes_no,1,0,1,non_negative
ExecuteAsRootBase.execute,11,50,-39,negative
MainActivity.onResume,1,2,-1,negative
MainActivity.onPause,1,2,-1,negative
In file,BootReceiver.java
BootReceiver.onReceive,3,10,-7,negative
BootReceiver.setRecurringAlarm,1,2,-1,negative
In file,MainActivityFragment.java
MainActivityFragment.MainActivityFragment,1,0,1,non_negative
MainActivityFragment.onCreateView,1,0,1,non_negative
In file,SwipeDismissTouchListener.java
SwipeDismissTouchListener.SwipeDismissTouchListener,1,0,1,non_negative
SwipeDismissTouchListener.onTouch,20,0,20,non_negative
1.onAnimationEnd,7,0,7,non_negative
SwipeDismissTouchListener.performDismiss,1,0,1,non_negative
1.onAnimationUpdate,2,0,2,non_negative
In file,AfterPermissionGranted.java
In file,EasyPermissions.java
EasyPermissions.hasPermissions,3,12,-9,negative
EasyPermissions.requestPermissions,5,20,-15,negative
EasyPermissions.onRequestPermissionsResult,7,62,-55,negative
EasyPermissions.shouldShowRequestPermissionRationale,4,14,-10,negative
EasyPermissions.executePermissionsRequest,3,10,-7,negative
EasyPermissions.getActivity,4,14,-10,negative
EasyPermissions.runAnnotatedMethods,9,4,5,non_negative
EasyPermissions.checkCallingObjectSuitability,3,10,-7,negative
In file,MD5.java
MD5.checkMD5,3,0,3,non_negative
MD5.calculateMD5,11,0,11,non_negative
In file,SwipeDismissListViewTouchListener.java
SwipeDismissListViewTouchListener.SwipeDismissListViewTouchListener,1,0,1,non_negative
SwipeDismissListViewTouchListener.setEnabled,1,0,1,non_negative
SwipeDismissListViewTouchListener.makeScrollListener,1,0,1,non_negative
1.onScrollStateChanged,1,0,1,non_negative
1.onScroll,1,0,1,non_negative
SwipeDismissListViewTouchListener.onTouch,25,218,-193,negative
PendingDismissData.PendingDismissData,1,0,1,non_negative
PendingDismissData.compareTo,1,0,1,non_negative
SwipeDismissListViewTouchListener.performDismiss,1,2,-1,negative
In file,MyCustomAdapter.java
MyCustomAdapter.MyCustomAdapter,1,0,1,non_negative
MyCustomAdapter.getView,9,92,-83,negative
