ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
In file,TimeRangeTest.java
TimeRangeTest.<init>,1,0,1,non_negative
TimeRangeTest.testTimeRange,1,0,1,non_negative
TimeRangeTest.testSetters,1,0,1,non_negative
TimeRangeTest.testGetTotal,1,0,1,non_negative
TimeRangeTest.testToString,1,0,1,non_negative
In file,TimeRange.java
TimeRange.<init>,1,0,1,non_negative
TimeRange.TimeRange,1,0,1,non_negative
TimeRange.getStart,1,0,1,non_negative
TimeRange.setStart,1,0,1,non_negative
TimeRange.getEnd,1,0,1,non_negative
TimeRange.setEnd,1,0,1,non_negative
TimeRange.getTotal,2,0,2,non_negative
TimeRange.toString,3,0,3,non_negative
TimeRange.format,3,0,3,non_negative
TimeRange.compareTo,9,0,9,non_negative
TimeRange.equals,3,0,3,non_negative
TimeRange.hashCode,1,0,1,non_negative
TimeRange.overlap,3,0,3,non_negative
In file,Activities.java
Activities.<init>,1,2,-1,negative
Activities.onCreate,8,0,8,non_negative
1.<init>,13,0,13,non_negative
1.run,2,0,2,non_negative
Activities.onPause,2,0,2,non_negative
Activities.onStop,3,0,3,non_negative
Activities.onResume,2,0,2,non_negative
Activities.onCreateOptionsMenu,1,0,1,non_negative
Activities.onCreateContextMenu,1,0,1,non_negative
Activities.onContextItemSelected,2,0,2,non_negative
Activities.onMenuItemSelected,1,0,1,non_negative
Activities.onCreateDialog,5,0,5,non_negative
Activities.perform,5,0,5,non_negative
Activities.openChangeViewDialog,1,0,1,non_negative
1.onClick,14,0,14,non_negative
1.onDateSet,2,0,2,non_negative
Activities.switchView,1,0,1,non_negative
Activities.setTitle,2,0,2,non_negative
Activities.openNewActivityDialog,1,0,1,non_negative
Activities.openEditActivityDialog,2,0,2,non_negative
Activities.openDeleteActivityDialog,2,0,2,non_negative
Activities.export,5,0,5,non_negative
Activities.getRangeName,2,0,2,non_negative
Activities.getVersionName,4,0,4,non_negative
Activities.openAboutDialog,1,0,1,non_negative
Activities.onPrepareDialog,1,0,1,non_negative
Activities.requestExport,3,0,3,non_negative
Activities.requestBackupRestore,3,0,3,non_negative
Activities.requestBackupCreation,3,0,3,non_negative
Activities.doExport,1,0,1,non_negative
Activities.doBackupRestore,5,0,5,non_negative
Activities.doBackupCreation,13,0,13,non_negative
Activities.onRequestPermissionsResult,4,0,4,non_negative
ActivityView.<init>,1,0,1,non_negative
ActivityView.ActivityView,1,0,1,non_negative
ActivityView.setActivity,1,0,1,non_negative
ActivityView.markupSelectedActivity,3,0,3,non_negative
Activities.formatTotal,6,0,6,non_negative
