ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
In file,ItemDetailActivity.java
ItemDetailActivity.<init>,1,0,1,non_negative
ItemDetailActivity.onCreate,3,0,3,non_negative
ItemDetailActivity.onOptionsItemSelected,1,0,1,non_negative
In file,ItemListActivity.java
ItemListActivity.<init>,1,0,1,non_negative
ItemListActivity.weHavePermission,1,0,1,non_negative
ItemListActivity.requestForResultContactsPermission,1,0,1,non_negative
ItemListActivity.onRequestPermissionsResult,3,0,3,non_negative
1.<init>,7,0,7,non_negative
1.onClick,2,0,2,non_negative
ItemListActivity.requestPermissionFirst,3,0,3,non_negative
ItemListActivity.onCreate,5,0,5,non_negative
ItemListActivity.getCpuUsageImage,11,0,11,non_negative
ItemListActivity.startApp,2,0,2,non_negative
1.run,5,0,5,non_negative
ItemListActivity.onItemSelected,3,0,3,non_negative
In file,RVAdapter.java
RVAdapter.<init>,1,0,1,non_negative
RVAdapter.RVAdapter,1,0,1,non_negative
RVAdapter.onCreateViewHolder,1,0,1,non_negative
RVAdapter.onBindViewHolder,1,0,1,non_negative
RVAdapter.getItemCount,1,0,1,non_negative
RVAdapter.onAttachedToRecyclerView,1,0,1,non_negative
PersonViewHolder.<init>,1,0,1,non_negative
PersonViewHolder.PersonViewHolder,1,0,1,non_negative
In file,Content.java
Content.<init>,1,0,1,non_negative
Content.addItem,1,0,1,non_negative
ItemDetails.<init>,1,0,1,non_negative
ItemDetails.ItemDetails,4,0,4,non_negative
ItemDetails.getName,1,0,1,non_negative
ItemDetails.getDetail,1,0,1,non_negative
Item.<init>,1,0,1,non_negative
Item.Item,1,0,1,non_negative
Item.getLabel,1,0,1,non_negative
Item.getDetailedItems,1,0,1,non_negative
Item.toString,1,0,1,non_negative
PIS.<init>,1,0,1,non_negative
PIS.PIS,1,0,1,non_negative
Content.formatBitmask,5,0,5,non_negative
BuildItem.<init>,1,0,1,non_negative
BuildItem.getDetailedItems,3,0,3,non_negative
BuildItem.BuildItem,1,0,1,non_negative
BuildItem.getContents,1,0,1,non_negative
RuntimeItem.<init>,1,0,1,non_negative
RuntimeItem.RuntimeItem,1,0,1,non_negative
RuntimeItem.getDetailedItems,1,0,1,non_negative
RuntimeItem.getContents,1,0,1,non_negative
ConfigurationInfoItem.<init>,1,0,1,non_negative
ConfigurationInfoItem.getDetailedItems,1,0,1,non_negative
ConfigurationInfoItem.ConfigurationInfoItem,1,0,1,non_negative
ConfigurationInfoItem.getContents,1,0,1,non_negative
ConfigItem.<init>,1,0,1,non_negative
ConfigItem.getDetailedItems,1,0,1,non_negative
ConfigItem.ConfigItem,1,0,1,non_negative
ConfigItem.getConfig,1,0,1,non_negative
ConfigItem.getContents,1,0,1,non_negative
OpenGLItem.<init>,1,0,1,non_negative
OpenGLItem.OpenGLItem,1,0,1,non_negative
OpenGLItem.getDetailedItems,2,0,2,non_negative
OpenGLItem.getContents,3,0,3,non_negative
FileInfo.<init>,1,0,1,non_negative
FileInfo.getDetailedItems,1,0,1,non_negative
FileInfo.FileInfo,1,0,1,non_negative
FileInfo.getContents,1,0,1,non_negative
InputDeviceInfo.<init>,1,0,1,non_negative
InputDeviceInfo.InputDeviceInfo,1,0,1,non_negative
InputDeviceInfo.getDetailedItems,2,0,2,non_negative
InputDeviceInfo.getContents,2,0,2,non_negative
SensorsItem.<init>,1,0,1,non_negative
SensorsItem.SensorsItem,1,0,1,non_negative
SensorsItem.getDetailedItems,2,0,2,non_negative
SensorsItem.getContents,2,0,2,non_negative
BatteryItem.<init>,1,0,1,non_negative
BatteryItem.BatteryItem,1,0,1,non_negative
BatteryItem.getDetailedItems,11,0,11,non_negative
BatteryItem.getContents,1,0,1,non_negative
Content.weHavePermission,1,0,1,non_negative
IdsItem.<init>,1,0,1,non_negative
IdsItem.IdsItem,1,0,1,non_negative
IdsItem.getDetailedItems,4,0,4,non_negative
IdsItem.getContents,1,0,1,non_negative
EncryptItem.<init>,1,0,1,non_negative
EncryptItem.EncryptItem,1,0,1,non_negative
EncryptItem.getDetailedItems,1,0,1,non_negative
EncryptItem.getContents,1,0,1,non_negative
RootItem.<init>,1,0,1,non_negative
RootItem.RootItem,1,0,1,non_negative
RootItem.getDetailedItems,1,0,1,non_negative
RootItem.getContents,1,0,1,non_negative
Content.suAvailable,3,0,3,non_negative
Content.checkFile,5,0,5,non_negative
Content.checkRoot,7,0,7,non_negative
Content.getSystemProperty,3,0,3,non_negative
CamerasItem.<init>,1,0,1,non_negative
CamerasItem.CamerasItem,1,0,1,non_negative
CamerasItem.getDetailedItems,2,0,2,non_negative
CamerasItem.getContents,2,0,2,non_negative
DisplayMetricsItem.<init>,1,0,1,non_negative
DisplayMetricsItem.DisplayMetricsItem,1,0,1,non_negative
