ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
In file,DonateHelper.java,,,
DonateHelper.<init>,2,0,2,non_negative
DonateHelper.DonateHelper,2,0,2,non_negative
DonateHelper.purchaseGift,3,0,3,non_negative
DonateHelper.handleActivityResult,2,0,2,non_negative
DonateHelper.handleActivityDestroy,2,0,2,non_negative
PaypalDonateListener.<init>,1,0,1,non_negative
PaypalDonateListener.onClick,1,0,1,non_negative
PaypalDonateListener.donatePayPalOnClick,3,0,3,non_negative
In file,Man2HtmlTest.java,,,
Man2HtmlTest.<init>,1,0,1,non_negative
Man2HtmlTest.testHtmlOutput,1,0,1,non_negative
In file,ApplicationTest.java,,,
ApplicationTest.<init>,1,0,1,non_negative
ApplicationTest.unlockScreen,1,0,1,non_negative
1.<init>,54,2,52,non_negative
1.run,26,0,26,non_negative
ApplicationTest.espressoPreconditions,1,0,1,non_negative
ApplicationTest.checkSearchForCommand,1,0,1,non_negative
1.call,8,0,8,non_negative
ApplicationTest.checkChapter,1,0,1,non_negative
ApplicationTest.checkLocalArchive,1,0,1,non_negative
ApplicationTest.checkCachedPage,1,0,1,non_negative
ManSectionItemMatcher.<init>,1,0,1,non_negative
ManSectionItemMatcher.ManSectionItemMatcher,1,0,1,non_negative
ManSectionItemMatcher.matches,1,0,1,non_negative
ManSectionItemMatcher.describeTo,1,0,1,non_negative
ManPageMatcher.<init>,1,0,1,non_negative
ManPageMatcher.ManPageMatcher,1,0,1,non_negative
ManPageMatcher.matches,1,0,1,non_negative
ManPageMatcher.describeTo,1,0,1,non_negative
WebViewVisible.<init>,1,0,1,non_negative
WebViewVisible.WebViewVisible,1,0,1,non_negative
WebViewVisible.call,1,0,1,non_negative
In file,ManPageDialogFragment.java,,,
ManPageDialogFragment.<init>,1,0,1,non_negative
ManPageDialogFragment.newInstance,1,0,1,non_negative
ManPageDialogFragment.ManPageDialogFragment,1,0,1,non_negative
ManPageDialogFragment.onCreate,2,0,2,non_negative
ManPageDialogFragment.onCreateView,2,0,2,non_negative
ManPageDialogFragment.onResume,1,0,1,non_negative
ManPageDialogFragment.onCreateOptionsMenu,1,0,1,non_negative
ManPageDialogFragment.onOptionsItemSelected,1,0,1,non_negative
ManPageDialogFragment.toggleSearchBar,3,0,3,non_negative
RetrieveManPageCallback.<init>,1,0,1,non_negative
RetrieveManPageCallback.onCreateLoader,1,0,1,non_negative
1.loadInBackground,39,0,39,non_negative
1.getLinks,3,0,3,non_negative
RetrieveManPageCallback.onLoadFinished,3,0,3,non_negative
RetrieveManPageCallback.onLoaderReset,1,0,1,non_negative
ManPageDialogFragment.shakeSlider,1,0,1,non_negative
ManPageDialogFragment.fillLinkPane,2,0,2,non_negative
1.onClick,8,0,8,non_negative
ManPageDialogFragment.getFontFromProperties,3,0,3,non_negative
ManPageChromeClient.<init>,1,0,1,non_negative
ManPageChromeClient.shouldOverrideUrlLoading,2,0,2,non_negative
ManPageChromeClient.shouldOverrideUrlLoadingOld,5,0,5,non_negative
SearchBarCloser.<init>,1,0,1,non_negative
SearchBarCloser.onClick,1,0,1,non_negative
SearchFurtherExecutor.<init>,1,0,1,non_negative
SearchFurtherExecutor.SearchFurtherExecutor,1,0,1,non_negative
SearchFurtherExecutor.onClick,1,0,1,non_negative
SearchExecutor.<init>,1,0,1,non_negative
SearchExecutor.beforeTextChanged,1,0,1,non_negative
SearchExecutor.onTextChanged,1,0,1,non_negative
SearchExecutor.afterTextChanged,1,0,1,non_negative
FontChangeListener.<init>,1,0,1,non_negative
FontChangeListener.onSharedPreferenceChanged,1,0,1,non_negative
In file,ProgressBarWrapper.java,,,
ProgressBarWrapper.<init>,1,0,1,non_negative
ProgressBarWrapper.ProgressBarWrapper,1,0,1,non_negative
ProgressBarWrapper.getActionBarSize,3,0,3,non_negative
ProgressBarWrapper.createProgressBar,1,0,1,non_negative
ProgressBarWrapper.show,4,0,4,non_negative
ProgressBarWrapper.hide,2,0,2,non_negative
ProgressBarWrapper.onOrientationChanged,2,0,2,non_negative
ProgressBarWrapper.addProgressBarToActivity,1,0,1,non_negative
AddHeaderViewRunnable.<init>,1,0,1,non_negative
AddHeaderViewRunnable.run,3,0,3,non_negative
AddHeaderViewRunnable.start,1,0,1,non_negative
AddHeaderViewRunnable.finish,1,0,1,non_negative
AddHeaderViewRunnable.getDecorView,1,0,1,non_negative
ProgressBarWrapper.setIndeterminate,1,0,1,non_negative
ProgressBarWrapper.setProgress,1,0,1,non_negative
In file,PassiveSlidingPane.java,,,
PassiveSlidingPane.<init>,1,0,1,non_negative
PassiveSlidingPane.PassiveSlidingPane,3,0,3,non_negative
PassiveSlidingPane.init,1,0,1,non_negative
PassiveSlidingPane.setTrackedView,1,0,1,non_negative
PassiveSlidingPane.onInterceptTouchEvent,3,0,3,non_negative
In file,FolderChooseFragment.java,,,
FolderChooseFragment.<init>,1,0,1,non_negative
FolderChooseFragment.onCreate,1,0,1,non_negative
FolderChooseFragment.onCreateDialog,1,0,1,non_negative
AddFolderClickListener.<init>,1,0,1,non_negative
AddFolderClickListener.onClick,1,0,1,non_negative
1.receiveResult,1,0,1,non_negative
FolderListArrayAdapter.<init>,1,0,1,non_negative
FolderListArrayAdapter.FolderListArrayAdapter,1,0,1,non_negative
FolderListArrayAdapter.getView,1,0,1,non_negative
FolderChooseFragment.syncFolderList,1,0,1,non_negative
In file,ChapterContentsArrayAdapter.java,,,
ChapterContentsArrayAdapter.<init>,1,0,1,non_negative
ChapterContentsArrayAdapter.ChapterContentsArrayAdapter,1,0,1,non_negative
ChapterContentsArrayAdapter.getView,1,0,1,non_negative
ChapterContentsArrayAdapter.getSections,2,0,2,non_negative
ChapterContentsArrayAdapter.getPositionForSection,1,0,1,non_negative
ChapterContentsArrayAdapter.getSectionForPosition,2,0,2,non_negative
In file,ChapterContentsCursorAdapter.java,,,
ChapterContentsCursorAdapter.<init>,1,0,1,non_negative
ChapterContentsCursorAdapter.ChapterContentsCursorAdapter,1,0,1,non_negative
ChapterContentsCursorAdapter.getView,1,0,1,non_negative
ChapterContentsCursorAdapter.getSections,2,0,2,non_negative
ChapterContentsCursorAdapter.getPositionForSection,1,0,1,non_negative
ChapterContentsCursorAdapter.getSectionForPosition,2,0,2,non_negative
In file,CachedCommandsArrayAdapter.java,,,
CachedCommandsArrayAdapter.<init>,1,0,1,non_negative
CachedCommandsArrayAdapter.CachedCommandsArrayAdapter,1,0,1,non_negative
CachedCommandsArrayAdapter.getView,1,0,1,non_negative
1.onMenuItemClick,3,0,3,non_negative
In file,ChaptersArrayAdapter.java,,,
ChaptersArrayAdapter.<init>,1,0,1,non_negative
ChaptersArrayAdapter.ChaptersArrayAdapter,1,0,1,non_negative
ChaptersArrayAdapter.getView,1,0,1,non_negative
In file,OrmLiteCursorAdapter.java,,,
OrmLiteCursorAdapter.<init>,1,0,1,non_negative
OrmLiteCursorAdapter.OrmLiteCursorAdapter,1,0,1,non_negative
OrmLiteCursorAdapter.getCount,1,0,1,non_negative
OrmLiteCursorAdapter.getItem,3,0,3,non_negative
OrmLiteCursorAdapter.getRawCursor,1,0,1,non_negative
OrmLiteCursorAdapter.getItemId,1,0,1,non_negative
OrmLiteCursorAdapter.updateQuery,4,0,4,non_negative
OrmLiteCursorAdapter.closeCursor,1,0,1,non_negative
In file,LocalArchiveArrayAdapter.java,,,
LocalArchiveArrayAdapter.<init>,1,0,1,non_negative
LocalArchiveArrayAdapter.LocalArchiveArrayAdapter,1,0,1,non_negative
LocalArchiveArrayAdapter.getCount,1,0,1,non_negative
LocalArchiveArrayAdapter.getItem,1,0,1,non_negative
LocalArchiveArrayAdapter.getView,1,0,1,non_negative
LocalArchiveArrayAdapter.getFilter,1,0,1,non_negative
1.performFiltering,4,0,4,non_negative
1.publishResults,1,0,1,non_negative
In file,ManChaptersFragment.java,,,
ManChaptersFragment.<init>,1,0,1,non_negative
1.onItemClick,6,0,6,non_negative
ManChaptersFragment.newInstance,1,0,1,non_negative
ManChaptersFragment.ManChaptersFragment,1,0,1,non_negative
ManChaptersFragment.onCreateView,1,0,1,non_negative
RetrieveChapterContentsCallback.<init>,1,0,1,non_negative
RetrieveChapterContentsCallback.onCreateLoader,1,0,1,non_negative
1.onStartLoading,8,0,8,non_negative
1.loadFromNetwork,7,0,7,non_negative
1.saveToDb,3,0,3,non_negative
1.deliverResult,5,0,5,non_negative
RetrieveChapterContentsCallback.onLoadFinished,5,0,5,non_negative
RetrieveChapterContentsCallback.onLoaderReset,1,0,1,non_negative
RetrievePackageContentsCallback.<init>,1,0,1,non_negative
RetrievePackageContentsCallback.onCreateLoader,1,0,1,non_negative
RetrievePackageContentsCallback.onLoadFinished,1,0,1,non_negative
RetrievePackageContentsCallback.onLoaderReset,1,0,1,non_negative
ManChaptersFragment.sectionItemFromRow,1,0,1,non_negative
ManChaptersFragment.onDestroyView,1,0,1,non_negative
ManChaptersFragment.onConfigurationChanged,1,0,1,non_negative
ManChaptersFragment.onPause,2,0,2,non_negative
ManChaptersFragment.onResume,2,0,2,non_negative
ManChaptersFragment.onDestroy,1,0,1,non_negative
CountingInputStream.<init>,1,0,1,non_negative
CountingInputStream.CountingInputStream,1,0,1,non_negative
CountingInputStream.read,5,0,5,non_negative
CountingInputStream.stopCounting,1,0,1,non_negative
ManPageContentsResult.<init>,1,0,1,non_negative
ManPageContentsResult.ManPageContentsResult,2,0,2,non_negative
BackButtonBroadcastReceiver.<init>,1,0,1,non_negative
BackButtonBroadcastReceiver.onReceive,1,0,1,non_negative
ManChaptersFragment.swapListView,3,0,3,non_negative
In file,ManLocalArchiveFragment.java,,,
ManLocalArchiveFragment.<init>,1,0,1,non_negative
ManLocalArchiveFragment.newInstance,1,0,1,non_negative
ManLocalArchiveFragment.ManLocalArchiveFragment,1,0,1,non_negative
ManLocalArchiveFragment.onCreateView,1,0,1,non_negative
ManLocalArchiveFragment.onConfigurationChanged,1,0,1,non_negative
ManLocalArchiveFragment.onDestroyView,1,0,1,non_negative
ManLocalArchiveFragment.onCreateOptionsMenu,1,0,1,non_negative
ManLocalArchiveFragment.onPrepareOptionsMenu,1,0,1,non_negative
ManLocalArchiveFragment.onOptionsItemSelected,1,0,1,non_negative
ManLocalArchiveFragment.onSharedPreferenceChanged,2,0,2,non_negative
ManLocalArchiveFragment.showFolderSettingsDialog,1,0,1,non_negative
LocalArchiveParserCallback.<init>,1,0,1,non_negative
LocalArchiveParserCallback.onCreateLoader,1,0,1,non_negative
1.populateWithLocal,4,0,4,non_negative
1.walkFileTree,4,0,4,non_negative
LocalArchiveParserCallback.onLoadFinished,4,0,4,non_negative
LocalArchiveParserCallback.onLoaderReset,1,0,1,non_negative
ManLocalArchiveFragment.downloadArchive,3,0,3,non_negative
1.onPreExecute,1,0,1,non_negative
1.doInBackground,5,0,5,non_negative
1.onProgressUpdate,3,0,3,non_negative
1.onPostExecute,1,0,1,non_negative
FilterLocalStorage.<init>,1,0,1,non_negative
FilterLocalStorage.onQueryTextSubmit,1,0,1,non_negative
FilterLocalStorage.onQueryTextChange,1,0,1,non_negative
FilterLocalStorage.applyFilter,2,0,2,non_negative
LocalArchiveBroadcastReceiver.<init>,1,0,1,non_negative
LocalArchiveBroadcastReceiver.onReceive,1,0,1,non_negative
In file,PreferencesActivity.java,,,
PreferencesActivity.<init>,1,8,-7,negative
PreferencesActivity.onCreate,1,24,-23,negative
In file,GlobalPrefsFragment.java,,,
GlobalPrefsFragment.<init>,1,4,-3,negative
GlobalPrefsFragment.onCreate,1,6,-5,negative
1.onPreferenceClick,3,0,3,non_negative
In file,AbstractNetworkAsyncLoader.java,,,
AbstractNetworkAsyncLoader.<init>,1,0,1,non_negative
AbstractNetworkAsyncLoader.AbstractNetworkAsyncLoader,1,0,1,non_negative
AbstractNetworkAsyncLoader.onStopLoading,1,0,1,non_negative
AbstractNetworkAsyncLoader.onStartLoading,3,0,3,non_negative
AbstractNetworkAsyncLoader.onLoadInBackground,1,0,1,non_negative
AbstractNetworkAsyncLoader.deliverResult,3,0,3,non_negative
AbstractNetworkAsyncLoader.onReset,1,0,1,non_negative
In file,FolderAddDialog.java,,,
FolderAddDialog.<init>,1,0,1,non_negative
FolderAddDialog.newInstance,1,0,1,non_negative
FolderAddDialog.onCreateDialog,1,0,1,non_negative
FolderAddDialog.onStart,1,0,1,non_negative
FolderAddDialog.cdInto,4,0,4,non_negative
FolderAddDialog.onClick,1,0,1,non_negative
FolderAddDialog.onItemClick,1,0,1,non_negative
FolderArrayAdapter.<init>,1,0,1,non_negative
FolderArrayAdapter.FolderArrayAdapter,1,0,1,non_negative
FolderArrayAdapter.getView,3,0,3,non_negative
In file,CircularFragReveal.java,,,
CircularFragReveal.<init>,1,0,1,non_negative
CircularFragReveal.CircularFragReveal,1,0,1,non_negative
CircularFragReveal.startReveal,1,0,1,non_negative
CircularFragReveal.cancelReveal,1,0,1,non_negative
CircularFragReveal.isRevealing,1,0,1,non_negative
CircularFragReveal.isUnrevealing,1,0,1,non_negative
CircularFragReveal.startUnreveal,3,0,3,non_negative
CircularFragReveal.cancelUnreveal,1,0,1,non_negative
Builder.<init>,1,0,1,non_negative
Builder.Builder,1,0,1,non_negative
Builder.setRevealTime,1,0,1,non_negative
Builder.setUnrevealTime,1,0,1,non_negative
Builder.setRevelInt,1,0,1,non_negative
Builder.setUnrevealInt,1,0,1,non_negative
Builder.setRevealColor,1,0,1,non_negative
Builder.setOnToouchUnreveal,1,0,1,non_negative
Builder.build,1,0,1,non_negative
Builder.getRootView,1,0,1,non_negative
Builder.getREVEAL_DURATION,1,0,1,non_negative
Builder.getRevealInterpolator,1,0,1,non_negative
Builder.getUNREVEAL_DURATION,1,0,1,non_negative
Builder.getUnrevealInterpolator,1,0,1,non_negative
Builder.getRevealBgColor,1,0,1,non_negative
Builder.isTouchUnreveal,1,0,1,non_negative
CircularFragReveal.startRevealAnimation,3,0,3,non_negative
1.onLayoutChange,1,0,1,non_negative
CircularFragReveal.getView,1,0,1,non_negative
CircularFragReveal.prepareUnrevealAnimator,2,0,2,non_negative
CircularFragReveal.getEnclosingCircleRadius,1,0,1,non_negative
1.onTouch,1,0,1,non_negative
CircularFragReveal.onTouchUnRevealOn,1,0,1,non_negative
CircularFragReveal.onTouchUnRevealOff,1,0,1,non_negative
1.onAnimationStart,2,0,2,non_negative
1.onAnimationEnd,3,0,3,non_negative
1.onAnimationCancel,2,0,2,non_negative
1.onAnimationRepeat,2,0,2,non_negative
In file,ManChapterItemOnClickListener.java,,,
ManChapterItemOnClickListener.<init>,1,0,1,non_negative
ManChapterItemOnClickListener.ManChapterItemOnClickListener,1,0,1,non_negative
ManChapterItemOnClickListener.onClick,1,0,1,non_negative
In file,ManApplication.java,,,
ManApplication.<init>,1,0,1,non_negative
ManApplication.onCreate,1,0,1,non_negative
ManApplication.onTerminate,1,0,1,non_negative
In file,MainPagerActivity.java,,,
MainPagerActivity.<init>,1,2,-1,negative
MainPagerActivity.onCreate,1,17,-16,negative
MainPagerActivity.onCreateOptionsMenu,1,0,1,non_negative
MainPagerActivity.onOptionsItemSelected,1,0,1,non_negative
ManFragmentPagerAdapter.<init>,1,11,-10,negative
ManFragmentPagerAdapter.ManFragmentPagerAdapter,1,0,1,non_negative
ManFragmentPagerAdapter.getItem,1,0,1,non_negative
ManFragmentPagerAdapter.getCount,1,0,1,non_negative
ManFragmentPagerAdapter.getPageTitle,1,0,1,non_negative
ManFragmentPagerAdapter.setPrimaryItem,3,0,3,non_negative
MainPagerActivity.showAbout,1,0,1,non_negative
MainPagerActivity.onActivityResult,2,0,2,non_negative
MainPagerActivity.onBackPressed,2,0,2,non_negative
MainPagerActivity.onDestroy,1,0,1,non_negative
In file,HtmlEscaper.java,,,
HtmlEscaper.<init>,1,0,1,non_negative
HtmlEscaper.escapeHtml,1,0,1,non_negative
HtmlEscaper.withinStyle,12,0,12,non_negative
In file,SpecialsHandler.java,,,
SpecialsHandler.<init>,1,0,1,non_negative
SpecialsHandler.parseSpecial,1,0,1,non_negative
In file,Man2Html.java,,,
Man2Html.<init>,1,0,1,non_negative
Man2Html.Command,2,0,2,non_negative
Man2Html.Man2Html,1,0,1,non_negative
Man2Html.getHtml,1,0,1,non_negative
Man2Html.getDoc,1,0,1,non_negative
Man2Html.doParse,6,0,6,non_negative
Man2Html.handleSpecialConditions,2,0,2,non_negative
Man2Html.evaluateCommand,7,0,7,non_negative
Man2Html.executeCommand,24,0,24,non_negative
Man2Html.parseQuotedCommandArguments,2,0,2,non_negative
Man2Html.postprocessInDocLinks,4,0,4,non_negative
Man2Html.parseTextField,10,0,10,non_negative
Man2Html.isControl,1,0,1,non_negative
In file,ManCacheFragment.java,,,
ManCacheFragment.<init>,1,0,1,non_negative
ManCacheFragment.newInstance,1,0,1,non_negative
ManCacheFragment.ManCacheFragment,1,0,1,non_negative
ManCacheFragment.onCreateView,1,0,1,non_negative
ManCacheFragment.onDestroyView,1,0,1,non_negative
ManCacheFragment.onItemClick,1,0,1,non_negative
CacheBrowseCallback.<init>,1,0,1,non_negative
CacheBrowseCallback.onCreateLoader,1,0,1,non_negative
CacheBrowseCallback.onLoadFinished,2,0,2,non_negative
CacheBrowseCallback.onLoaderReset,1,0,1,non_negative
SearchInCacheListener.<init>,1,0,1,non_negative
SearchInCacheListener.onQueryTextSubmit,1,0,1,non_negative
SearchInCacheListener.onQueryTextChange,1,0,1,non_negative
SearchInCacheListener.fireLoader,1,0,1,non_negative
DbBroadcastReceiver.<init>,1,0,1,non_negative
DbBroadcastReceiver.onReceive,1,0,1,non_negative
In file,SearchResultList.java,,,
SearchResultList.<init>,1,0,1,non_negative
SearchResultList.getQuery,1,0,1,non_negative
SearchResultList.setQuery,1,0,1,non_negative
SearchResultList.getTruncated,1,0,1,non_negative
SearchResultList.setTruncated,1,0,1,non_negative
SearchResultList.getResults,1,0,1,non_negative
SearchResultList.setResults,1,0,1,non_negative
In file,ManPage.java,,,
ManPage.<init>,1,0,1,non_negative
ManPage.ManPage,2,0,2,non_negative
ManPage.getName,1,0,1,non_negative
ManPage.setName,1,0,1,non_negative
ManPage.getUrl,1,0,1,non_negative
ManPage.setUrl,1,0,1,non_negative
ManPage.getWebContent,1,0,1,non_negative
ManPage.setWebContent,1,0,1,non_negative
ManPage.getLinks,1,0,1,non_negative
ManPage.setLinks,1,0,1,non_negative
In file,SearchResult.java,,,
SearchResult.<init>,1,0,1,non_negative
SearchResult.getName,1,0,1,non_negative
SearchResult.setName,1,0,1,non_negative
SearchResult.getSection,1,0,1,non_negative
SearchResult.setSection,1,0,1,non_negative
SearchResult.getDescription,1,0,1,non_negative
SearchResult.setDescription,1,0,1,non_negative
SearchResult.getUrl,1,0,1,non_negative
SearchResult.setUrl,1,0,1,non_negative
In file,ManPageInfo.java,,,
ManPageInfo.<init>,1,0,1,non_negative
ManPageInfo.getName,1,0,1,non_negative
ManPageInfo.setName,1,0,1,non_negative
ManPageInfo.getSection,1,0,1,non_negative
ManPageInfo.setSection,1,0,1,non_negative
ManPageInfo.getDescription,1,0,1,non_negative
ManPageInfo.setDescription,1,0,1,non_negative
ManPageInfo.getUrl,1,0,1,non_negative
ManPageInfo.setUrl,1,0,1,non_negative
ManPageInfo.getSections,1,0,1,non_negative
ManPageInfo.setSections,1,0,1,non_negative
ManPageInfo.getAnchors,1,0,1,non_negative
ManPageInfo.setAnchors,1,0,1,non_negative
InfoSection.<init>,1,0,1,non_negative
InfoSection.getId,1,0,1,non_negative
InfoSection.setId,1,0,1,non_negative
InfoSection.getTitle,1,0,1,non_negative
InfoSection.setTitle,1,0,1,non_negative
InfoSection.getUrl,1,0,1,non_negative
InfoSection.setUrl,1,0,1,non_negative
InfoSection.getSections,1,0,1,non_negative
InfoSection.setSections,1,0,1,non_negative
InfoAnchor.<init>,1,0,1,non_negative
InfoAnchor.getAnchor,1,0,1,non_negative
InfoAnchor.setAnchor,1,0,1,non_negative
InfoAnchor.getDescription,1,0,1,non_negative
InfoAnchor.setDescription,1,0,1,non_negative
InfoAnchor.getUrl,1,0,1,non_negative
